archivo,accion,destino,nuevo_nombre,motivo,bytes,fecha
(NDPLSAS) NDPL SAS - FCA0000300021962.pdf,MOVER,Nordelta Plaza/Principio de mes/Facturas & Rec de Gastos,,factura / recupero de gastos NDPL SAS,116506,2025-12-12
(NDPLSAS) NDPL SAS - FCA0000300021963.pdf,MOVER,Nordelta Plaza/Principio de mes/Facturas & Rec de Gastos,,factura / recupero de gastos NDPL SAS,114531,2025-12-12
(NDPLSAS) NDPL SAS.FCA0000300022160 (1).pdf,BORRAR,,,duplicado exacto (md5) de: (NDPLSAS) NDPL SAS.FCA0000300022160.pdf,116349,2025-12-04
(NDPLSAS) NDPL SAS.FCA0000300022160 (2).pdf,BORRAR,,,duplicado exacto (md5) de: (NDPLSAS) NDPL SAS.FCA0000300022160.pdf,116349,2025-12-12
(NDPLSAS) NDPL SAS.FCA0000300022160.pdf,MOVER,Nordelta Plaza/Principio de mes/Facturas & Rec de Gastos,,factura / recupero de gastos NDPL SAS,116349,2025-11-11
.DS_Store,BORRAR,,,basura de sistema,26628,2026-08-12
.Rapp.history,BORRAR,,,basura de sistema,0,2021-04-30
.localized,IGNORAR,,,marcador de sistema de macOS,0,2021-09-06
0002 A 61730 _ 16-10-2025 _ OBGEIK.pdf,MOVER,Paseo Nordelta/Principio de mes/Facturas de Compra/2025/Octubre 2025,,"Soda Belén (agua), 16/10/2025",42479,2025-12-04
01-CONSTITUCION.md,BORRAR,,,copia vieja de un archivo que vive en el repo facu-os,691,2026-08-03
02-PLAYBOOK.md,BORRAR,,,copia vieja de un archivo que vive en el repo facu-os,642,2026-08-03
03-EMPRESA.md,BORRAR,,,copia vieja de un archivo que vive en el repo facu-os,449,2026-08-03
0504 (1).png,MOVER,Productoras/Astronomy/Eventos/_sin-evento-asignado,,material de eventos sin evento identificado (Facu asigna),2443431,2025-03-11
0504 (2).png,MOVER,Productoras/Astronomy/Eventos/_sin-evento-asignado,,material de eventos sin evento identificado (Facu asigna),2430172,2025-03-11
0504.png,MOVER,Productoras/Astronomy/Eventos/_sin-evento-asignado,,material de eventos sin evento identificado (Facu asigna),2447345,2025-03-11
0530654443_04_2025_factura_29_09_2025-18_22_55.pdf,MOVER,Paseo Nordelta/Principio de mes/Facturas de Compra/Edenor/2025,,Edenor 2025 (a nombre de Noreventos; mismos 14 medidores),546642,2025-12-15
0530654443_05-2025_factura_26_11_2025-22_20_35.pdf,MOVER,Paseo Nordelta/Principio de mes/Facturas de Compra/Edenor/2025,,Edenor 2025 (a nombre de Noreventos; mismos 14 medidores),544006,2025-12-15
0530654443_05_2025_factura_04_11_2025-13_02_24 (1).pdf,BORRAR,,,duplicado exacto (md5) de: 0530654443_05_2025_factura_04_11_2025-13_02_24.pdf,547003,2025-12-15
0530654443_05_2025_factura_04_11_2025-13_02_24.pdf,MOVER,Paseo Nordelta/Principio de mes/Facturas de Compra/Edenor/2025,,Edenor 2025 (a nombre de Noreventos; mismos 14 medidores),547003,2025-11-04
0530654443_2025-03_factura_08_07_2025-12_30_36.pdf,MOVER,Paseo Nordelta/Principio de mes/Facturas de Compra/Edenor/2025,,Edenor 2025 (a nombre de Noreventos; mismos 14 medidores),546519,2025-12-15
0530654443_2025-04_factura_01_09_2025-03_44_27.pdf,MOVER,Paseo Nordelta/Principio de mes/Facturas de Compra/Edenor/2025,,Edenor 2025 (a nombre de Noreventos; mismos 14 medidores),547568,2025-12-15
0530654443_factura_20_01_2026-15_22_10.pdf,MOVER,Paseo Nordelta/Principio de mes/Facturas de Compra/Edenor/Enero 2026,,"Edenor, bajadas el 20/01/2026",584896,2026-01-20
0530654443_factura_23_02_2026-13_09_05.pdf,MOVER,Paseo Nordelta/Principio de mes/Facturas de Compra/Edenor/Febrero 2026,,"Edenor, bajadas el 23/02/2026",584285,2026-02-23
06 PRUEBA DE ESTANQUEIDAD  Y VENTILACIONES.pdf,MOVER,Paseo Nordelta/Documentación/Municipales,,permiso municipal y formularios de obra,277765,2026-01-20
1.PNG,MOVER,Productoras/Astronomy/Academia/Contenido,,contenido / flyers de la academia,1244242,2024-04-22
1000x1000.png,MOVER,Productoras/Astronomy/Eventos/_sin-evento-asignado,,material de eventos sin evento identificado (Facu asigna),1937551,2024-11-01
1352ACA4-EAA2-4B4A-8EAA-D5C392BB1265.pdf,MOVER,Paseo Nordelta/Principio de mes/Comprobantes de pago/2026/Septiembre 2026,,"transferencia Macro de MAHNI a Luis Costantini $600.000, 03/09/2026",4752,2026-09-03
20081049980_001_00004_00000387 MAHNI MANAGEMENT balance 2025.pdf,MOVER,Paseo Nordelta/Principio de mes/Facturas de Compra/2026/Agosto 2026,,factura de Giaccio (contador) por el balance 2025,87274,2026-08-06
2019 Plano Municipal plano canchas nordelta 20-3.dwg,MOVER,Paseo Nordelta/Documentación/Obra /PLANOS,,plano / mensura,990555,2026-01-21
2021-MENSURA 57-113-2021 Castaños-Macrolote-Aprobado 2024.pdf,MOVER,Paseo Nordelta/Documentación/Obra /PLANOS,,plano / mensura,989809,2026-05-19
2025.03.28 Cami & Dante-1101.jpg,MOVER,Productoras/Astronomy/Eventos/_sin-evento-asignado,,fotos de fiesta 28/03/2025 / logos 'Rompecabezas' (enero 2026),4330996,2025-04-09
2025.03.28 Cami & Dante-1170.jpg,MOVER,Productoras/Astronomy/Eventos/_sin-evento-asignado,,fotos de fiesta 28/03/2025 / logos 'Rompecabezas' (enero 2026),4632449,2025-04-09
2025.03.28 Cami & Dante-1177.jpg,MOVER,Productoras/Astronomy/Eventos/_sin-evento-asignado,,fotos de fiesta 28/03/2025 / logos 'Rompecabezas' (enero 2026),3263153,2025-04-09
2025.03.28 Cami & Dante-1193.jpg,MOVER,Productoras/Astronomy/Eventos/_sin-evento-asignado,,fotos de fiesta 28/03/2025 / logos 'Rompecabezas' (enero 2026),4143357,2025-04-09
2025.03.28 Cami & Dante-1592.jpg,MOVER,Productoras/Astronomy/Eventos/_sin-evento-asignado,,fotos de fiesta 28/03/2025 / logos 'Rompecabezas' (enero 2026),4140075,2025-04-09
2025.03.28 Cami & Dante-1624.jpg,MOVER,Productoras/Astronomy/Eventos/_sin-evento-asignado,,fotos de fiesta 28/03/2025 / logos 'Rompecabezas' (enero 2026),4952300,2025-04-09
2025.03.28 Cami & Dante-1625.jpg,MOVER,Productoras/Astronomy/Eventos/_sin-evento-asignado,,fotos de fiesta 28/03/2025 / logos 'Rompecabezas' (enero 2026),3327474,2025-04-09
2025.03.28 Cami & Dante-1626.jpg,MOVER,Productoras/Astronomy/Eventos/_sin-evento-asignado,,fotos de fiesta 28/03/2025 / logos 'Rompecabezas' (enero 2026),3996108,2025-04-09
20251872628_001_00005_00001511.PDF Manhi.pdf,MOVER,Paseo Nordelta/Principio de mes/Facturas de Compra/2026/Agosto 2026,,"factura de Luis Costantini a MAHNI, 07/08/2026",8047,2026-09-03
2026_06_10_11_22_55_735_receipt.pdf,MOVER,Facu/Documentos/AFIP,,"AFIP/ARCA personal (CUIT 20-94752058-0): F.1746 devoluciones, credencial, factura propia, pago, W-9",16615,2026-06-10
20947520580_011_00002_00000017.pdf,MOVER,Facu/Documentos/AFIP,,"AFIP/ARCA personal (CUIT 20-94752058-0): F.1746 devoluciones, credencial, factura propia, pago, W-9",85824,2026-03-04
20K - LATTO POSTY.wav,MOVER,Facu/DJ/Sin clasificar,,track suelto,28344538,2023-05-05
21-02-2024-eCheqs-emitidos.xls,MOVER,Nordelta Plaza/BBVA movimientos,,export de movimientos BBVA,5120,2024-02-21
24-12-25 House & Bells (1).xlsx,MOVER,Productoras/Astronomy/Eventos/House n Bells,,House & Bells 24/12/2025,96149,2026-01-23
24-12-25 House & Bells.xlsx,MOVER,Productoras/Astronomy/Eventos/House n Bells,,House & Bells 24/12/2025,95804,2026-01-20
3 locales nuevos.jpeg,MOVER,Paseo Nordelta/Documentación/Obra ,,presentación comercial / presupuesto de demolición / fotos de locales / propuesta APEX (wellness),202718,2026-05-13
